zaman,cpu_kullanimi,bellek_kullanimi,disk_kullanimi
1740476034.0894496,12.8,60.6,27.6
1740476054.1038363,13.5,60.3,27.6
1740476074.1063786,12.4,61.0,27.6
1740476094.109786,13.8,60.6,27.6
1740476114.1189296,15.8,60.8,27.6
1740476134.1259463,16.1,60.7,27.6
1740476154.130487,18.0,60.5,27.6
1740476174.1362488,17.0,60.7,27.6
1740476194.1415215,15.3,60.1,27.6
1740476214.1459439,15.2,59.9,27.6
1740476234.147122,13.2,59.6,27.6
1740476254.1530137,14.1,59.8,27.6
1740476274.1578314,14.5,59.5,27.6
1740476294.1624913,14.9,60.0,27.6
1740476314.1682627,14.5,59.9,27.6
1740476334.1789095,12.9,56.1,27.6
1740476354.184006,12.7,56.4,27.6
1740476374.1856914,13.3,59.1,27.6
1740476394.1912117,14.4,59.3,27.6
1740476414.2005916,11.7,59.3,27.6
1740476434.205967,11.8,59.1,27.6
1740476454.2062764,11.8,59.3,27.6
1740476474.2152374,10.5,59.3,27.6
1740476494.219376,10.8,59.4,27.6
1740476514.224752,10.4,59.4,27.6
1740476534.225084,10.8,59.5,27.6
1740476554.23236,10.3,59.4,27.6
1740476574.2346544,10.7,59.5,27.6
1740476594.2391634,10.4,59.3,27.6
1740476614.247876,9.0,59.4,27.6
1740476634.2537043,10.1,59.2,27.6
1740476654.2545516,12.2,59.2,27.6
1740476674.2633996,12.2,56.2,27.6
1740476694.2637763,10.9,56.3,27.6
1740476714.272631,12.5,56.4,27.6
1740476734.2733438,12.9,56.6,27.6
1740476754.277722,13.2,56.5,27.6
1740476774.289219,13.5,56.5,27.6
1740476794.2950416,12.9,57.5,27.6
1740476814.3001523,13.4,58.2,27.6
1740476834.3059068,13.6,57.7,27.6
1740476854.311467,12.4,57.5,27.6
1740476874.3170364,14.7,57.3,27.6
1740476894.3216026,14.3,57.5,27.6
1740476914.3266957,14.9,57.3,27.6
1740476934.327162,15.6,57.4,27.6
1740476954.3361182,16.6,57.9,27.6
1740476974.3406477,11.1,55.0,27.6
1740476994.3422842,13.0,55.1,27.6
1740477014.347591,13.8,55.3,27.6
1740477034.3566892,13.0,55.5,27.6
1740477054.3576717,13.2,55.3,27.6
1740477074.3664439,12.2,55.3,27.6
1740477094.3720243,11.8,55.5,27.6
1740477114.376769,15.9,55.0,27.6
1740477134.382442,13.8,55.0,27.6
1740477154.3878107,15.0,55.1,27.6
1740477174.3882892,11.7,54.8,27.6
1740477194.3970363,14.4,55.1,27.6
1740477214.397919,17.8,55.3,27.6
1740477234.4036677,17.8,55.3,27.6
1740477254.4078217,15.2,55.3,27.6
1740477274.4136999,17.2,55.6,27.6
1740477294.4243479,19.1,55.8,27.6
1740477314.4300504,19.1,55.3,27.6
1740477334.434715,18.3,55.3,27.6
1740477354.4391768,17.3,55.5,27.6
1740477374.4454465,17.7,55.9,27.6
1740477394.4520304,19.7,56.7,27.6
1740477414.4530437,21.4,55.7,27.6
1740477434.465171,21.4,55.9,27.6
1740477454.4698355,21.4,56.3,27.6
1740477474.4747646,21.2,56.5,27.6
1740477494.4801786,20.3,56.3,27.6
1740477514.4810138,20.9,56.5,27.6
1740477534.4888027,18.9,56.5,27.6
1740477554.4937427,19.6,56.6,27.6
1740477574.4991806,14.5,56.0,27.6
1740477594.503777,20.2,55.4,27.6
1740477614.5047872,19.4,55.6,27.6
1740477634.509802,19.6,54.8,27.6
1740477654.515113,18.9,52.5,27.6
1740477674.5216367,22.7,51.6,27.6
1740477694.5316265,22.4,51.7,27.6
1740477714.5358615,23.4,52.3,27.6
1740477734.5420804,22.3,52.5,27.6
1740477754.5474856,21.3,52.5,27.6
1740477774.5536377,22.4,52.1,27.6
1740477794.5543556,22.1,52.2,27.6
1740477814.5914972,21.5,53.6,27.6
1740477834.5983417,20.9,54.0,27.6
1740477854.599078,19.3,52.6,27.6
1740477874.60589,23.2,50.0,27.6
1740477894.615342,22.3,50.0,27.6
1740477914.6201692,21.7,50.1,27.6
1740477934.625415,21.4,50.3,27.6
1740477954.6322117,20.5,50.6,27.6
1740477974.638027,19.5,50.6,27.6
1740477994.6392703,21.3,50.6,27.6
1740478014.6518984,18.8,50.2,27.6
1740478034.6571727,18.3,50.0,27.6
1740478054.6617436,19.0,50.5,27.6
1740478074.6669092,20.5,50.6,27.6
1740478094.6724572,20.7,50.4,27.6
1740478114.677669,17.7,50.7,27.6
1740478134.6829722,19.3,50.6,27.6
1740478154.6853023,17.1,50.9,27.6
1740478174.6926637,20.7,50.1,27.6
1740478194.6970963,21.4,50.1,27.6
1740478214.702696,20.4,50.6,27.6
1740478234.7074363,10.9,48.3,27.6
1740478254.7150598,0.4,48.2,27.6
1740478274.7196326,0.5,47.8,27.6
1740478294.7209098,1.4,47.9,27.6
1740478314.734197,0.6,47.9,27.6
1740478334.738563,1.0,48.4,27.6
1740478354.7444222,2.0,45.4,27.6
1740478374.7491615,1.4,42.5,27.6
1740478394.7537985,1.8,44.6,27.6
1740478414.7576628,5.7,45.4,27.6
1740478434.7625232,1.7,45.1,27.6
1740478454.7723873,0.3,44.9,27.6
1740478474.773544,0.5,45.1,27.6
1740478494.7837555,0.7,44.9,27.6
1740478514.7886708,0.5,44.9,27.6
1740478534.7963097,0.6,44.8,27.6
1740478554.8002412,0.6,44.8,27.6
1740478574.804959,0.6,44.7,27.6
1740478594.8106618,0.4,44.7,27.6
1740478614.8176007,0.6,44.5,27.6
1740478634.8183446,0.3,44.6,27.6
1740478654.8231173,0.7,45.9,27.6
1740478674.828079,2.8,45.9,27.6
1740478694.839955,0.4,43.5,27.6
1740478714.846674,0.1,43.4,27.6
1740478734.85385,0.2,43.3,27.6
1740478754.8567445,0.1,43.3,27.6
1740478774.8675184,0.2,43.3,27.6
1740478794.8721747,0.3,43.2,27.6
1740478814.8793218,2.3,44.4,27.6
1740478834.8833861,4.8,45.0,27.6
1740478854.8886967,4.1,46.0,27.6
1740478874.8936946,5.8,46.8,27.7
1740478894.8986332,6.8,45.7,27.7
1740478914.903921,2.7,51.3,27.7
1740478934.9115267,2.2,54.2,27.7
1740478954.9187086,3.2,55.3,27.7
1740478974.9240484,1.6,54.8,27.7
1740478994.9301589,1.8,55.4,27.7
1740479014.934871,0.7,54.9,27.7
1740479034.9408002,1.6,55.9,27.7
1740479054.9442904,1.7,50.7,27.7
1740479074.9495282,3.8,55.8,27.7
1740479094.9550242,1.2,55.8,27.7
1740479114.9603107,3.8,52.7,27.7
1740479134.9664347,11.1,57.8,27.7
1740479154.9722726,16.4,62.9,28.2
1740479174.9778385,3.4,63.4,28.2
1740479194.9838262,3.6,63.3,28.2
1740479214.9935653,48.8,66.0,28.5
1740479235.0023592,77.5,67.3,28.5
1740479255.011875,74.9,69.7,28.5
1740479275.0660582,67.9,72.6,28.5
1740479295.082863,43.8,73.1,28.5
1740479315.0989907,24.4,74.2,28.5
1740479335.1042295,25.9,74.9,28.5
1740479355.1303353,21.9,75.4,28.6
1740479375.1419013,11.8,76.7,28.6
1740479395.157255,6.2,82.7,29.0
1740479415.1659863,5.5,78.0,29.0
1740479435.1718369,4.2,77.4,29.0
1740479455.1769238,2.5,76.7,28.8
1740479475.1834397,2.3,76.8,28.8
1740479495.1881077,2.3,78.0,28.8
1740479515.1943295,7.5,77.3,28.8
1740479535.199713,1.8,76.5,28.8
1740479555.2044146,1.8,76.5,28.8
1740479575.2091331,2.0,76.6,28.8
